Model, Opt, #states, Time (ms), Channel Safety Error, Global Deadlock, Error, Comm param info,
getlantern-lantern:protected_connectSocket220.pml,0,15,5279,false,false,,,
getlantern-lantern:singleflight_Do41.pml,0,22,4641,false,false,,,
getlantern-lantern:socks5_handleConnect144.pml,0,242,6002,false,false,,,
getlantern-lantern:ssh_newChannel455.pml,0,12,5402,false,false,,,
getlantern-lantern:ssh_newHandshakeTransport75.pml,0,7,5337,false,false,,,
getlantern-lantern:ssh_newMux116.pml,0,17,5047,false,false,,,
getlantern-lantern:ssh_start350.pml,0,9,5382,false,false,,start_s_copyFuncs = 0,,
getlantern-lantern:ssh_start350.pml,0,16,5141,false,false,,start_s_copyFuncs = 1,,
getlantern-lantern:ssh_start350.pml,0,28,5325,false,false,,start_s_copyFuncs = 3,,
getlantern-lantern:systray_AddMenuItem68.pml,0,5,5246,false,false,,,
