Project, Fun, Type, Info, Line Num, Filename, Link,
perkeep/perkeep,subscribeToNewBlobs,Integer as a chan bound,Name : buffered,116,/tmp/clone-example393018868/pkg/search/handler.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/search/handler.go#L116,
perkeep/perkeep,GetRecentPermanodes,Integer as a chan bound,Name : &{10559218 INT 1},519,/tmp/clone-example393018868/pkg/search/handler.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/search/handler.go#L519,
perkeep/perkeep,GetPermanodesWithAttr,Candidate param,Name : buffered, Mandatory : true,580,/tmp/clone-example393018868/pkg/search/handler.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/search/handler.go#L580,
perkeep/perkeep,GetPermanodesWithAttr,Integer as a chan bound,Name : buffered,580,/tmp/clone-example393018868/pkg/search/handler.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/search/handler.go#L580,
perkeep/perkeep,GetPermanodesWithAttr,Integer as a chan bound,Name : &{10560754 INT 1},581,/tmp/clone-example393018868/pkg/search/handler.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/search/handler.go#L581,
perkeep/perkeep,EdgesTo,Candidate param,Name : verifying, Mandatory : false,829,/tmp/clone-example393018868/pkg/search/handler.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/search/handler.go#L829,
perkeep/perkeep,EdgesTo,Go in for,,820,/tmp/clone-example393018868/pkg/search/handler.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/search/handler.go#L820,
perkeep/perkeep,EdgesTo,Integer as a for bound,Name : edges,817,/tmp/clone-example393018868/pkg/search/handler.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/search/handler.go#L817,
perkeep/perkeep,EdgesTo,Integer as a spawning for bound,Name : verifying,829,/tmp/clone-example393018868/pkg/search/handler.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/search/handler.go#L829,
perkeep/perkeep,EdgesTo,Integer as a spawning for bound,Name : &{10566472 INT 0},829,/tmp/clone-example393018868/pkg/search/handler.go,https://github.com/perkeep/perkeep/blob/c2e31370ddefd86b6112a5d891100ea3382a4254//tmp/clone-example393018868/pkg/search/handler.go#L829,
